H,2025/6/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
［データ区分］,［伝票日付］,［伝票No］,［取引状態］,［自社コード］,［自社会員名］,［自社担当者］,［取引先コード］,［取引先名］,［納品場所コード］,［納品場所名］,［納品場所 住所］,［マイカタログID］,［自社管理商品コード］,［商品名］,［規格］,［入数］,［入数単位］,［単価］,［数量］,［単位］,［金額］,［消費税］,［小計］,［課税区分］,［税区分］,［合計 商品本体］,［合計 商品消費税］,［合計 送料本体］,［合計 送料消費税］,［合計 その他］,［総合計］,［発注日］,［発送日］,［納品日］,［受領日］,［取引ID_SYSTEM］,［伝票明細ID_SYSTEM］,［発注送信日］,［発注送信時間］,［送信日］,［送信時間］
D,2025/6/12,607895,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,133311400,524,アンデスメロン（バラ）,あ,1,個,1800,1,個,1800,0,1800,,外税,1803,0,0,0,0,1803,2025/6/12,,2025/6/19,,1649318616,1,2025/6/12,16:15,2025/6/12,16:15
D,2025/6/12,607895,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192158,1015,ゴールデンパイン,,0,本,1,1,本,1,0,1,,外税,,,,,,,2025/6/12,,2025/6/19,,1649318616,2,2025/6/12,16:15,2025/6/12,16:15
D,2025/6/12,607895,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192041,504,ｵﾚﾝｼﾞ88玉,,0,未指定,1,1,個,1,0,1,,外税,,,,,,,2025/6/12,,2025/6/19,,1649318616,3,2025/6/12,16:15,2025/6/12,16:15
D,2025/6/12,607895,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192176,622,キウイフルーツ33玉,,0,未指定,1,1,個,1,0,1,,外税,,,,,,,2025/6/12,,2025/6/19,,1649318616,4,2025/6/12,16:15,2025/6/12,16:15
D,2025/6/13,607973,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,161980127,97041,コールスロー,,0,kg,450,1,kg,450,0,450,,外税,450,0,0,0,0,450,2025/6/13,,2025/6/19,,1649784732,1,2025/6/13,15:42,2025/6/13,15:42
D,2025/6/17,608179,発注済,,株式会社丸大一,西川信幸,,館内宴会（株式会社サンケイ会館）,,厨房,東京都千代田区大手町1-7-2　東京サンケイビル2階 洋食厨房,127191810,895996,むきエシャロット,,0,未指定,1,2,kg,2,0,2,,外税,7,0,0,0,0,7,2025/6/17,,2025/6/18,,1651308171,1,2025/6/17,11:57,2025/6/17,11:57
D,2025/6/17,608179,発注済,,株式会社丸大一,西川信幸,,館内宴会（株式会社サンケイ会館）,,厨房,東京都千代田区大手町1-7-2　東京サンケイビル2階 洋食厨房,127191798,344005,トマト（個）,,0,未指定,1,5,個,5,0,5,,外税,,,,,,,2025/6/17,,2025/6/18,,1651308171,2,2025/6/17,11:57,2025/6/17,11:57
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127191830,10000161,新ごぼう,,0,未指定,1,2,PC,2,0,2,,外税,12619,0,0,0,0,12619,2025/6/17,,2025/6/18,,1651380854,1,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192245,896011,黄人参,,0,kg,1,3,本,3,0,3,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,2,2025/6/17,15:20,2025/6/17,15:20
D,2025/6/17,608186,発注済,,株式会社丸大一,西川信幸,,出張宴会（株式会社サンケイ会館）,,主張宴会　厨房,東京都台東区上野1-4-8　上野横山ビルB1F,127192194,896009,かぶ　５点,,0,束,1,1,束,1,0,1,,外税,,,,,,,2025/6/17,,2025/6/18,,1651380854,3,2025/6/17,15:20,2025/6/17,15:20
